Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,CloudFactor
08/04/2016 23:00,736428.958333,0.100000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 00:00,736429.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 01:00,736429.041667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 02:00,736429.083333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 03:00,736429.125000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 04:00,736429.166667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 05:00,736429.208333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 06:00,736429.250000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 07:00,736429.291667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 08:00,736429.333333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 09:00,736429.375000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 10:00,736429.416667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 11:00,736429.458333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 12:00,736429.500000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 13:00,736429.541667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 14:00,736429.583333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 15:00,736429.625000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 16:00,736429.666667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 17:00,736429.708333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 18:00,736429.750000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 19:00,736429.791667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 20:00,736429.833333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 21:00,736429.875000,0.100000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 22:00,736429.916667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
09/04/2016 23:00,736429.958333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 00:00,736430.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 01:00,736430.041667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 02:00,736430.083333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 03:00,736430.125000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 04:00,736430.166667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 05:00,736430.208333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 06:00,736430.250000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 07:00,736430.291667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 08:00,736430.333333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 09:00,736430.375000,0.100000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 10:00,736430.416667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 11:00,736430.458333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 12:00,736430.500000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 13:00,736430.541667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 14:00,736430.583333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 15:00,736430.625000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 16:00,736430.666667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 17:00,736430.708333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 18:00,736430.750000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 19:00,736430.791667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 20:00,736430.833333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 21:00,736430.875000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 22:00,736430.916667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
10/04/2016 23:00,736430.958333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 00:00,736431.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 01:00,736431.041667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 02:00,736431.083333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 03:00,736431.125000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 04:00,736431.166667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 05:00,736431.208333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 06:00,736431.250000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 07:00,736431.291667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 08:00,736431.333333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 09:00,736431.375000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 10:00,736431.416667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 11:00,736431.458333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 12:00,736431.500000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 13:00,736431.541667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 14:00,736431.583333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 15:00,736431.625000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 16:00,736431.666667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 17:00,736431.708333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 18:00,736431.750000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 19:00,736431.791667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 20:00,736431.833333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 21:00,736431.875000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 22:00,736431.916667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
11/04/2016 23:00,736431.958333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 00:00,736432.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 01:00,736432.041667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 02:00,736432.083333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 03:00,736432.125000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 04:00,736432.166667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 05:00,736432.208333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
12/04/2016 06:00,736432.250000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
